Post ID,Post creation date,Post creation time of day,Post type,Post message,Post shared link,Post caption,Post thumbnail URL,Post image URL,Link to post,Post comment text,Total post reactions,Post link clicks,Likes on posts,Shares on posts,Comments on posts,Comments on shares,Post impressions (page likers [fans] only),Post reach (page likers [fans] only)
926011594215556_754885459520463,2023-03-04,21:58:02,share,"We are excited about our partnership with ALX, the African education powerhouse, to train 25,000 Africans in the dynamic fields of data science and data analytics. This collaboration is a significant step towards building a brighter future for Africa, one that's grounded in the power of data and the potential of Africa's youth.

Read more about it here: https://bit.ly/3Zs8v9O

#ExploreAIAcademy #ALXAfrica #DataScience #DataAnalytics #TechEducation #EmpoweringAfrica",https://ventureburn.com/2023/03/exploreai-alx-to-train-25k-data-science-students/?utm_campaign=alx_partner&utm_source=facebook&utm_medium=pr_article&utm_content=1677959880,"ExploreAI, ALX to train 25k data science students - Ventureburn",https://external-lhr8-1.xx.fbcdn.net/emg1/v/t13/9517520842357614147?url=https%3A%2F%2Fs5.cdn.ventureburn.com%2Fwp-content%2Fuploads%2Fsites%2F2%2F2023%2F03%2F1-DRWTPXC_9R-XPeIUKGdVdw.jpeg&fb_obo=1&utld=ventureburn.com&stp=c0.5000x0.5000f_dst-emg0_p130x130_q75&_nc_eui2=AeHOOQXFR-J1wkQ_aRcB6JxLbX5rOIvfLs5tfms4i98uztVd2-MpYgfhaZDIAmX7sGg&ccb=13-1&oh=06_AbF12_q1IONS_M_zKCuiUh9zOe2OROZjbeUqwrRWcWMMZQ&oe=644218CB&_nc_sid=6ac203,https://external-lhr8-1.xx.fbcdn.net/emg1/v/t13/9517520842357614147?url=https%3A%2F%2Fs5.cdn.ventureburn.com%2Fwp-content%2Fuploads%2Fsites%2F2%2F2023%2F03%2F1-DRWTPXC_9R-XPeIUKGdVdw.jpeg&fb_obo=1&utld=ventureburn.com&_nc_eui2=AeHOOQXFR-J1wkQ_aRcB6JxLbX5rOIvfLs5tfms4i98uztVd2-MpYgfhaZDIAmX7sGg&ccb=13-1&_nc_sid=834697&stp=dst-emg0_q75&ur=64c8fc&oh=06_AbHNi4HFQdeQUiV70138OIJoCkbeYZQyJyt3vVgc3DtmQg&oe=644218CB,https://www.facebook.com/permalink.php?id=926011594215556&story_fbid=754885459520463,Applications,20,36,14,2,3,0,538,507
926011594215556_754885459520463,2023-03-04,21:58:02,share,"We are excited about our partnership with ALX, the African education powerhouse, to train 25,000 Africans in the dynamic fields of data science and data analytics. This collaboration is a significant step towards building a brighter future for Africa, one that's grounded in the power of data and the potential of Africa's youth.

Read more about it here: https://bit.ly/3Zs8v9O

#ExploreAIAcademy #ALXAfrica #DataScience #DataAnalytics #TechEducation #EmpoweringAfrica",https://ventureburn.com/2023/03/exploreai-alx-to-train-25k-data-science-students/?utm_campaign=alx_partner&utm_source=facebook&utm_medium=pr_article&utm_content=1677959880,"ExploreAI, ALX to train 25k data science students - Ventureburn",https://external-lhr8-1.xx.fbcdn.net/emg1/v/t13/9517520842357614147?url=https%3A%2F%2Fs5.cdn.ventureburn.com%2Fwp-content%2Fuploads%2Fsites%2F2%2F2023%2F03%2F1-DRWTPXC_9R-XPeIUKGdVdw.jpeg&fb_obo=1&utld=ventureburn.com&stp=c0.5000x0.5000f_dst-emg0_p130x130_q75&_nc_eui2=AeHOOQXFR-J1wkQ_aRcB6JxLbX5rOIvfLs5tfms4i98uztVd2-MpYgfhaZDIAmX7sGg&ccb=13-1&oh=06_AbF12_q1IONS_M_zKCuiUh9zOe2OROZjbeUqwrRWcWMMZQ&oe=644218CB&_nc_sid=6ac203,https://external-lhr8-1.xx.fbcdn.net/emg1/v/t13/9517520842357614147?url=https%3A%2F%2Fs5.cdn.ventureburn.com%2Fwp-content%2Fuploads%2Fsites%2F2%2F2023%2F03%2F1-DRWTPXC_9R-XPeIUKGdVdw.jpeg&fb_obo=1&utld=ventureburn.com&_nc_eui2=AeHOOQXFR-J1wkQ_aRcB6JxLbX5rOIvfLs5tfms4i98uztVd2-MpYgfhaZDIAmX7sGg&ccb=13-1&_nc_sid=834697&stp=dst-emg0_q75&ur=64c8fc&oh=06_AbHNi4HFQdeQUiV70138OIJoCkbeYZQyJyt3vVgc3DtmQg&oe=644218CB,https://www.facebook.com/permalink.php?id=926011594215556&story_fbid=754885459520463,Ayanda Martin,20,36,14,2,3,0,538,507
926011594215556_754885459520463,2023-03-04,21:58:02,share,"We are excited about our partnership with ALX, the African education powerhouse, to train 25,000 Africans in the dynamic fields of data science and data analytics. This collaboration is a significant step towards building a brighter future for Africa, one that's grounded in the power of data and the potential of Africa's youth.

Read more about it here: https://bit.ly/3Zs8v9O

#ExploreAIAcademy #ALXAfrica #DataScience #DataAnalytics #TechEducation #EmpoweringAfrica",https://ventureburn.com/2023/03/exploreai-alx-to-train-25k-data-science-students/?utm_campaign=alx_partner&utm_source=facebook&utm_medium=pr_article&utm_content=1677959880,"ExploreAI, ALX to train 25k data science students - Ventureburn",https://external-lhr8-1.xx.fbcdn.net/emg1/v/t13/9517520842357614147?url=https%3A%2F%2Fs5.cdn.ventureburn.com%2Fwp-content%2Fuploads%2Fsites%2F2%2F2023%2F03%2F1-DRWTPXC_9R-XPeIUKGdVdw.jpeg&fb_obo=1&utld=ventureburn.com&stp=c0.5000x0.5000f_dst-emg0_p130x130_q75&_nc_eui2=AeHOOQXFR-J1wkQ_aRcB6JxLbX5rOIvfLs5tfms4i98uztVd2-MpYgfhaZDIAmX7sGg&ccb=13-1&oh=06_AbF12_q1IONS_M_zKCuiUh9zOe2OROZjbeUqwrRWcWMMZQ&oe=644218CB&_nc_sid=6ac203,https://external-lhr8-1.xx.fbcdn.net/emg1/v/t13/9517520842357614147?url=https%3A%2F%2Fs5.cdn.ventureburn.com%2Fwp-content%2Fuploads%2Fsites%2F2%2F2023%2F03%2F1-DRWTPXC_9R-XPeIUKGdVdw.jpeg&fb_obo=1&utld=ventureburn.com&_nc_eui2=AeHOOQXFR-J1wkQ_aRcB6JxLbX5rOIvfLs5tfms4i98uztVd2-MpYgfhaZDIAmX7sGg&ccb=13-1&_nc_sid=834697&stp=dst-emg0_q75&ur=64c8fc&oh=06_AbHNi4HFQdeQUiV70138OIJoCkbeYZQyJyt3vVgc3DtmQg&oe=644218CB,https://www.facebook.com/permalink.php?id=926011594215556&story_fbid=754885459520463,I truly love this really gonna bring some changes in many peoples life specially youth of Africa . I would like to know where can you apply and what is the requirements of education you need I am still busy with System development course NQF national Certificate level 4 be finished in June can I still apply  also for Data science course ?,20,36,14,2,3,0,538,507
926011594215556_755905349418474,2023-03-06,13:56:51,photo,"Join us tonight at 7pm EAT for a Twitter space with ExploreAI data experts in partnership with ALX, as they dive into the exciting world of data and discuss cutting-edge courses.

https://twitter.com/i/spaces/1MYGNgAEmRoJw

#ExploreAIAcademy #ALXAfrica #Data #DataScience #DataAnalytics",https://www.facebook.com/alxafrica/photos/a.158716144998628/1264127124457519/?type=3,,https://scontent-lhr8-1.xx.fbcdn.net/v/t39.30808-6/331558669_1287511308499221_8198409148237815255_n.png?stp=dst-png_p130x130&_nc_cat=100&ccb=1-7&_nc_sid=730e14&_nc_eui2=AeEpTcFz2zgxeSBxUl58YopgNV9bsSGfhcg1X1uxIZ-FyN_UlnF3Q41d6M90X2OKwik&_nc_ohc=Dcu8K_k6eMYAX_IE8WB&_nc_ht=scontent-lhr8-1.xx&edm=AKIiGfEEAAAA&oh=00_AfCCap14xyMjpr3b-k9tjCYUJX9n7ojTA8vYNfg9YNEqDQ&oe=6444BD90,https://scontent-lhr8-1.xx.fbcdn.net/v/t39.30808-6/331558669_1287511308499221_8198409148237815255_n.png?stp=dst-png_p720x720&_nc_cat=100&ccb=1-7&_nc_sid=730e14&_nc_eui2=AeEpTcFz2zgxeSBxUl58YopgNV9bsSGfhcg1X1uxIZ-FyN_UlnF3Q41d6M90X2OKwik&_nc_ohc=Dcu8K_k6eMYAX_IE8WB&_nc_ht=scontent-lhr8-1.xx&edm=AKIiGfEEAAAA&oh=00_AfBBPdJ-75plOvbsLhIYxhZIHWHd70UVqMsNo74SqM4xfQ&oe=6444BD90,https://www.facebook.com/permalink.php?id=926011594215556&story_fbid=755905349418474,Which  requirements need to have someone to apply for data science course through ALX if does not have funds or unemployed but he want to study,9,7,9,1,2,0,381,348
926011594215556_755905349418474,2023-03-06,13:56:51,photo,"Join us tonight at 7pm EAT for a Twitter space with ExploreAI data experts in partnership with ALX, as they dive into the exciting world of data and discuss cutting-edge courses.

https://twitter.com/i/spaces/1MYGNgAEmRoJw

#ExploreAIAcademy #ALXAfrica #Data #DataScience #DataAnalytics",https://www.facebook.com/alxafrica/photos/a.158716144998628/1264127124457519/?type=3,,https://scontent-lhr8-1.xx.fbcdn.net/v/t39.30808-6/331558669_1287511308499221_8198409148237815255_n.png?stp=dst-png_p130x130&_nc_cat=100&ccb=1-7&_nc_sid=730e14&_nc_eui2=AeEpTcFz2zgxeSBxUl58YopgNV9bsSGfhcg1X1uxIZ-FyN_UlnF3Q41d6M90X2OKwik&_nc_ohc=Dcu8K_k6eMYAX_IE8WB&_nc_ht=scontent-lhr8-1.xx&edm=AKIiGfEEAAAA&oh=00_AfCCap14xyMjpr3b-k9tjCYUJX9n7ojTA8vYNfg9YNEqDQ&oe=6444BD90,https://scontent-lhr8-1.xx.fbcdn.net/v/t39.30808-6/331558669_1287511308499221_8198409148237815255_n.png?stp=dst-png_p720x720&_nc_cat=100&ccb=1-7&_nc_sid=730e14&_nc_eui2=AeEpTcFz2zgxeSBxUl58YopgNV9bsSGfhcg1X1uxIZ-FyN_UlnF3Q41d6M90X2OKwik&_nc_ohc=Dcu8K_k6eMYAX_IE8WB&_nc_ht=scontent-lhr8-1.xx&edm=AKIiGfEEAAAA&oh=00_AfBBPdJ-75plOvbsLhIYxhZIHWHd70UVqMsNo74SqM4xfQ&oe=6444BD90,https://www.facebook.com/permalink.php?id=926011594215556&story_fbid=755905349418474,i would like to come  in the opening day,9,7,9,1,2,0,381,348
926011594215556_768641608144848,2023-03-24,16:34:02,share,"Jonathan – part of ExploreAI Academy's data science class of 2020 – cohosts ExploreAI's inaugural podcast with Kieran, whose voice you may recognise from the Academy's video content.

Give it a listen, and share it with a friend if you like it!
https://bit.ly/3nlhT0s",https://www.linkedin.com/feed/update/urn:li:activity:7045005331583623169?utm_campaign=podcast&utm_source=facebook&utm_medium=social&utm_content=blogpodcast,www.linkedin.com,,,https://www.facebook.com/permalink.php?id=926011594215556&story_fbid=768641608144848,looking forward to upcoming episodes,4,14,4,,1,0,414,384
926011594215556_777527503922925,2023-04-06,12:45:02,photo,"Applications for our courses with Scholarship and Accelerator income share agreement tuition options will open soon.

Register interest in your course of choice for our July intake. We’ll follow up as soon as applications are open!

https://interest.explore.ai",https://www.facebook.com/photo.php?fbid=777527490589593&set=a.725513949124281&type=3,,https://scontent-lhr8-2.xx.fbcdn.net/v/t39.30808-6/340115059_6391145660937782_6885633665074979797_n.jpg?stp=dst-jpg_p130x130&_nc_cat=101&ccb=1-7&_nc_sid=730e14&_nc_eui2=AeGZi8gp9DheZqU8AxNlQmassNtKWMIp-9yw20pYwin73OlIQWHltd8CfuYIvfgp3lk&_nc_ohc=UXvtkktyCpEAX9FTbt4&_nc_ht=scontent-lhr8-2.xx&edm=AKIiGfEEAAAA&oh=00_AfCrHuYO3FWCbOFE9FoqQ0t2Dd9Ll6AbMYnYYVtMfbI6-g&oe=644533C6,https://scontent-lhr8-2.xx.fbcdn.net/v/t39.30808-6/340115059_6391145660937782_6885633665074979797_n.jpg?stp=dst-jpg_p720x720&_nc_cat=101&ccb=1-7&_nc_sid=730e14&_nc_eui2=AeGZi8gp9DheZqU8AxNlQmassNtKWMIp-9yw20pYwin73OlIQWHltd8CfuYIvfgp3lk&_nc_ohc=UXvtkktyCpEAX9FTbt4&_nc_ht=scontent-lhr8-2.xx&edm=AKIiGfEEAAAA&oh=00_AfDqfQMs_-dbWe7HjNpW5UWMXBKJjJB1NdQVNvGKLPGWbA&oe=644533C6,https://www.facebook.com/permalink.php?id=926011594215556&story_fbid=777527503922925,"I've been applying since 2019 but still no luck, yho I've applied 7 times 😭😭",20,29,13,1,2,1,1634,1641
926011594215556_777527503922925,2023-04-06,12:45:02,photo,"Applications for our courses with Scholarship and Accelerator income share agreement tuition options will open soon.

Register interest in your course of choice for our July intake. We’ll follow up as soon as applications are open!

https://interest.explore.ai",https://www.facebook.com/photo.php?fbid=777527490589593&set=a.725513949124281&type=3,,https://scontent-lhr8-2.xx.fbcdn.net/v/t39.30808-6/340115059_6391145660937782_6885633665074979797_n.jpg?stp=dst-jpg_p130x130&_nc_cat=101&ccb=1-7&_nc_sid=730e14&_nc_eui2=AeGZi8gp9DheZqU8AxNlQmassNtKWMIp-9yw20pYwin73OlIQWHltd8CfuYIvfgp3lk&_nc_ohc=UXvtkktyCpEAX9FTbt4&_nc_ht=scontent-lhr8-2.xx&edm=AKIiGfEEAAAA&oh=00_AfCrHuYO3FWCbOFE9FoqQ0t2Dd9Ll6AbMYnYYVtMfbI6-g&oe=644533C6,https://scontent-lhr8-2.xx.fbcdn.net/v/t39.30808-6/340115059_6391145660937782_6885633665074979797_n.jpg?stp=dst-jpg_p720x720&_nc_cat=101&ccb=1-7&_nc_sid=730e14&_nc_eui2=AeGZi8gp9DheZqU8AxNlQmassNtKWMIp-9yw20pYwin73OlIQWHltd8CfuYIvfgp3lk&_nc_ohc=UXvtkktyCpEAX9FTbt4&_nc_ht=scontent-lhr8-2.xx&edm=AKIiGfEEAAAA&oh=00_AfDqfQMs_-dbWe7HjNpW5UWMXBKJjJB1NdQVNvGKLPGWbA&oe=644533C6,https://www.facebook.com/permalink.php?id=926011594215556&story_fbid=777527503922925,Okay,20,29,13,1,2,1,1634,1641
926011594215556_780632273612448,2023-04-11,11:55:01,photo,"Applications are open for our self-funded programmes with a July 2023 start date.

Choose between data science and data engineering. Follow the link below to apply!

https://admissions.explore.ai",https://www.facebook.com/photo.php?fbid=780632260279116&set=a.725513949124281&type=3,,https://scontent-lhr8-1.xx.fbcdn.net/v/t39.30808-6/340765764_1978622179138665_8195859737920808168_n.jpg?stp=dst-jpg_p130x130&_nc_cat=106&ccb=1-7&_nc_sid=730e14&_nc_eui2=AeGho9NlgVzcbzycoBowfjsJg2iAyvW8aD-DaIDK9bxoP7Lad5blumHru8eav3l05cA&_nc_ohc=UboCXTi8u-AAX8ADpbA&_nc_ht=scontent-lhr8-1.xx&edm=AKIiGfEEAAAA&oh=00_AfDv7haM7Bi4qvw1P088xwteqbeAYvRV6aPUUWDxgj5Yhg&oe=64464065,https://scontent-lhr8-1.xx.fbcdn.net/v/t39.30808-6/340765764_1978622179138665_8195859737920808168_n.jpg?stp=dst-jpg_p720x720&_nc_cat=106&ccb=1-7&_nc_sid=730e14&_nc_eui2=AeGho9NlgVzcbzycoBowfjsJg2iAyvW8aD-DaIDK9bxoP7Lad5blumHru8eav3l05cA&_nc_ohc=UboCXTi8u-AAX8ADpbA&_nc_ht=scontent-lhr8-1.xx&edm=AKIiGfEEAAAA&oh=00_AfCp7z5PFgZ9Prt2brEdXBkAZFtzOuHSYyTDo_dvnL7s8A&oe=64464065,https://www.facebook.com/permalink.php?id=926011594215556&story_fbid=780632273612448,,5,4,4,1,0,1,516,515
926011594215556_781395100202832,2023-04-12,16:08:01,photo,"Applications are open for all of our programmes with a July 2023 start date!

Choose between data science and data engineering, and three tuition options.

Follow the link below to apply.

https://admissions.explore.ai

#ExploreAIAcademy #DataScience #DataEngineering #TechSkills #eLearning #MachineLearning #BigData",https://www.facebook.com/photo.php?fbid=781395076869501&set=a.725513949124281&type=3,,https://scontent-lhr8-1.xx.fbcdn.net/v/t39.30808-6/340297504_162382996428116_918653183741904553_n.jpg?stp=dst-jpg_p130x130&_nc_cat=111&ccb=1-7&_nc_sid=730e14&_nc_eui2=AeHYJd14PGFf-P2xIUlyv3CnIH-npaXAR2Igf6elpcBHYgZsFYYpoEL2ocooJRHayAk&_nc_ohc=A3kG1ZS-aZMAX-Kw-Qd&_nc_ht=scontent-lhr8-1.xx&edm=AKIiGfEEAAAA&oh=00_AfA8-bE_sYoAHrCpqtL1wLegch-NfhECyDSekXGXMJhwVA&oe=6445D990,https://scontent-lhr8-1.xx.fbcdn.net/v/t39.30808-6/340297504_162382996428116_918653183741904553_n.jpg?stp=dst-jpg_p720x720&_nc_cat=111&ccb=1-7&_nc_sid=730e14&_nc_eui2=AeHYJd14PGFf-P2xIUlyv3CnIH-npaXAR2Igf6elpcBHYgZsFYYpoEL2ocooJRHayAk&_nc_ohc=A3kG1ZS-aZMAX-Kw-Qd&_nc_ht=scontent-lhr8-1.xx&edm=AKIiGfEEAAAA&oh=00_AfCv1zmHGgNKtZgzUBpnDprztI55vNtIQg9R_5gyKE5jpQ&oe=6445D990,https://www.facebook.com/permalink.php?id=926011594215556&story_fbid=781395100202832,ARCHITECTURE| DECORATION | CEILING DESIGN | PLASTERING |SKIMMING |PAINTING |BUILDERS |CONSTRUCTION 🚧 | TILES | INTERIOR DESIGN | THATCHING |ENGINEERING.  0775372515,12,21,7,4,2,0,1088,1083
